id,tsne_1,tsne_2,label
mb-mp-e-form-000001,43.866111755371094,20.527986526489258,1.9953836506249996
mb-mp-e-form-000002,24.32918930053711,14.727384567260742,2.1030478831250004
mb-mp-e-form-000017,72.83336639404297,-75.0835189819336,1.9421013800000004
mb-mp-e-form-000022,-39.2452278137207,-50.57925033569336,1.9543089287500002
mb-mp-e-form-000024,1.1157052516937256,1.0226209163665771,2.0692863038100002
mb-mp-e-form-000027,52.91685485839844,-25.121103286743164,2.0830231926666665
mb-mp-e-form-000053,-7.846526145935059,-46.84270095825195,1.867376482857778
mb-mp-e-form-000054,-7.436396598815918,-46.67792510986328,2.1748964706355562
mb-mp-e-form-000068,70.0047836303711,-79.4413833618164,2.35567174
mb-mp-e-form-000076,72.47557067871094,-74.9814224243164,1.92357536
mb-mp-e-form-000090,64.43685913085938,-72.42872619628906,1.8390628987500004
mb-mp-e-form-000091,71.80681610107422,-66.09387969970703,1.5535102137499999
mb-mp-e-form-000092,70.56737518310547,-78.03597259521484,2.1664741225000004
mb-mp-e-form-000096,71.20284271240234,-77.87609100341797,2.1419742312499994
mb-mp-e-form-000110,66.03977966308594,-71.30658721923828,1.9978927325
mb-mp-e-form-000115,64.38610076904297,-71.23211669921875,2.215390006666667
mb-mp-e-form-000118,74.84053039550781,-77.52182006835938,1.5330480687499994
mb-mp-e-form-000121,66.0829086303711,-75.3561019897461,1.5292293249999998
mb-mp-e-form-000123,69.04708862304688,-70.702392578125,1.6175364550000002
mb-mp-e-form-000126,73.13290405273438,-79.60015106201172,2.00520051375
mb-mp-e-form-000128,70.09080505371094,-79.6506576538086,1.9956928270833325
mb-mp-e-form-000135,68.1397705078125,-79.98345947265625,2.4887634175000004
mb-mp-e-form-000137,66.0118408203125,-71.4084243774414,1.8580920162499999
mb-mp-e-form-000139,69.78079223632812,-77.82223510742188,1.926219825
mb-mp-e-form-000145,74.6111831665039,-77.2623291015625,1.705748465
mb-mp-e-form-000146,69.68839263916016,-77.79540252685547,2.3319255350000008
mb-mp-e-form-000149,70.6401596069336,-68.54061889648438,1.6528309566666666
mb-mp-e-form-000163,73.74915313720703,-79.35690307617188,1.7251881175000006
mb-mp-e-form-000165,65.72604370117188,-75.07232666015625,1.8121926212499995
mb-mp-e-form-000167,70.51808166503906,-78.69023895263672,2.1445394
mb-mp-e-form-000168,70.81562042236328,-74.46403503417969,1.684942125
mb-mp-e-form-000178,65.10633087158203,-71.47054290771484,1.9807033312499995
mb-mp-e-form-000180,65.27751159667969,-75.93302917480469,2.1021535887500002
mb-mp-e-form-000181,69.12057495117188,-73.22282409667969,1.5797105012500001
mb-mp-e-form-000192,66.00934600830078,-71.52099609375,1.70054023
mb-mp-e-form-000195,69.78102111816406,-77.81786346435547,1.7688957800000007
mb-mp-e-form-000203,74.73724365234375,-76.8826675415039,2.04156147
mb-mp-e-form-000208,74.58397674560547,-76.98878479003906,2.1585995875
mb-mp-e-form-000214,65.47807312011719,-76.04354095458984,1.8499286662499999
mb-mp-e-form-000233,66.01806640625,-77.21704864501953,2.3598680112499997
mb-mp-e-form-000235,66.3636474609375,-76.44705963134766,1.5848106724999997
mb-mp-e-form-000240,74.91140747070312,-79.0140151977539,1.6097625787500003
mb-mp-e-form-000241,69.99039459228516,-79.23236846923828,2.218476665
mb-mp-e-form-000244,65.6034927368164,-76.56986236572266,2.1153434375000004
mb-mp-e-form-000246,70.99627685546875,-80.02973175048828,2.359800383214286
